Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
26589797,10/30/2013 09:49:03 AM,10/30/2013 12:59:37 PM,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11364.0,227-07 56 AVENUE,56 AVENUE,CLOVERDALE BOULEVARD,228 STREET,,,ADDRESS,OAKLAND GARDENS,,,Closed,11/07/2013 09:49:03 AM,10/30/2013 12:59:37 PM,11 QUEENS,QUEENS,1052556.0,214357.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7547731228,-73.7534548054,"(40.75477312283063, -73.75345480536907)"
26595657,10/30/2013 09:49:00 AM,10/30/2013 09:49:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,214 ST E,LACONIA AVE,INTERSECTION,,,,Closed,,10/29/2013 09:40:00 PM,Unspecified BRONX,BRONX,,,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26589224,10/30/2013 09:49:00 AM,10/30/2013 09:49:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,RALEIGH AVE E,BROADWAY,INTERSECTION,,,,Closed,,10/29/2013 09:49:00 AM,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
26590981,10/30/2013 09:49:00 AM,10/30/2013 09:49:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10469.0,,,,,ASTOR AVENUE,BRONXWOOD AVENUE,INTERSECTION,BRONX,,,Closed,,10/29/2013 10:10:00 PM,11 BRONX,BRONX,1022491.0,252500.0,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.859646119,-73.8617545576,"(40.85964611902475, -73.86175455756064)"
26589268,10/30/2013 09:48:32 AM,,DOT,Department of Transportation,Broken Muni Meter,Coin or Card Did Not Register,Street,10023.0,,,,,WEST   75 STREET,BROADWAY,INTERSECTION,NEW YORK,,,Open,11/19/2013 09:48:32 AM,,07 MANHATTAN,MANHATTAN,989426.0,223826.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7810253923,-73.9813102894,"(40.78102539234052, -73.98131028936288)"
26596004,10/30/2013 09:48:02 AM,,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10075.0,,,,,3 AVENUE,EAST   80 STREET,INTERSECTION,NEW YORK,,,Open,11/09/2013 09:48:02 AM,,08 MANHATTAN,MANHATTAN,996216.0,221621.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.774966665,-73.9567966118,"(40.77496666502283, -73.95679661179162)"
26590174,10/30/2013 09:48:00 AM,,DSNY,BCC - Staten Island,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10303.0,37 REGAL WALK,REGAL WALK,SOUTH AVENUE,BEND,,,ADDRESS,STATEN ISLAND,,DSNY Garage,Open,,,01 STATEN ISLAND,STATEN ISLAND,937843.0,165827.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6217117438,-74.1671684143,"(40.621711743817336, -74.16716841425063)"
26593576,10/30/2013 09:48:00 AM,,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11369.0,102-19 29 AVENUE,29 AVENUE,MC INTOSH STREET,HUMPHREYS STREET,,,ADDRESS,East Elmhurst,,,Open,,,03 QUEENS,QUEENS,1021143.0,216859.0,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.7618273356,-73.866823607,"(40.76182733563585, -73.86682360699736)"
26590977,10/30/2013 09:48:00 AM,10/30/2013 09:48:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10301.0,,,,,CLOVE ROAD,BROADWAY,INTERSECTION,STATEN ISLAND,,,Closed,,10/29/2013 09:48:00 AM,01 STATEN ISLAND,STATEN ISLAND,952808.0,166292.0,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6230538197,-74.1132633707,"(40.62305381966874, -74.11326337065297)"
26591204,10/30/2013 09:47:45 AM,,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,10040.0,105 ARDEN STREET,ARDEN STREET,DONGAN PLACE,BROADWAY,,,ADDRESS,NEW YORK,,,Open,,,12 MANHATTAN,MANHATTAN,1003961.0,254225.0,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8644415411,-73.9287374394,"(40.86444154111094, -73.92873743936055)"
